"","idealpoint","polity2","democ","unreg","physint","speech","gdp.pc.wdi","pop.wdi","cinc","domestic9"
"Nigeria",-0.738027,4,4,2,1,1,377.500269346768,18.6266921587138,0.0067953,1625
"Nicaragua",-0.086753,8,8,419,5,1,1016.02155153669,15.4302925652521,0.0003955,0
"Nepal",-0.6906221,6,7,142,1,1,231.432967570545,16.982678054962,0.0012075,0
"New Zealand",0.8064349,10,10,9,8,2,13641.0560259004,15.1655817089266,0.0008111,0
"Pakistan",-0.8052908,-6,0,142,1,2,534.915837003883,18.7445777209645,0.0130623,312
"Philippines",-0.5900711,8,8,142,0,1,1039.70179564153,18.1713503789727,0.005919,3500
"Poland",1.201228,9,9,150,6,1,4492.72760355938,17.4598796875654,0.0081976,0
"Portugal",1.084983,10,10,150,6,2,11502.3968126428,16.1466731952247,0.0019729,0
"Paraguay",0.1074271,7,7,419,4,2,1545.62554809175,15.4837272485165,0.0005237,2500
"Romania",1.149616,8,8,150,5,1,1668.16273119678,16.9264880273595,0.0043928,0
"Russia",0.2396279,6,6,150,2,1,1771.58660190996,18.8031948614657,0.0495242,3437
"Rwanda",-0.4234862,-4,0,2,2,1,216.275894383596,15.8976827430416,0.0008166,250
"Saudi Arabia",-0.8605581,-10,0,142,5,1,8808.87536666471,16.8785403400225,0.0101968,0
"Senegal",-0.4020568,8,8,2,4,1,474.577124541493,16.1040553455503,0.0005907,1875
"El Salvador",-0.2634688,7,7,419,6,2,2259.88826938682,15.5754070857931,0.0005767,0
"Slovakia",1.146912,9,9,150,6,1,5402.9297536132,15.4998184378742,0.0017061,0
"Slovenia",1.135583,10,10,150,7,1,10227.7348765409,14.5031048497345,0.0003505,0
"Sweden",1.042949,10,10,150,7,2,29283.0050461572,15.99842309378,0.0042686,0
"Syria",-1.662949,-7,0,142,2,0,1181.71920185675,16.6099861310554,0.0042235,0
"Chad",-0.998895,-2,1,2,3,1,166.008015485376,15.9369718965126,0.0005697,0
"Togo",-0.697627,-2,1,2,5,0,265.501659718722,15.3995763019622,0.0002582,0
"Thailand",-0.3624159,9,9,142,5,1,2016.04101466738,17.9537654927538,0.0072419,0
"Tajikistan",0.1310088,-1,2,142,1,0,139.109141558996,15.6378238035386,0.000354,0
"Turkmenistan",0.07148344,-9,0,142,4,0,645.277101469676,15.3199032383668,0.0005612,0
"Trinidad and Tobago",-0.2658042,10,10,419,8,2,6431.00510537955,14.0529356409843,0.000407,312
"Tunisia",-0.9470493,-3,1,2,3,0,2247.91299467086,16.0723134583032,0.000841,0
"Turkey",0.691463,7,8,142,2,0,4215.16241317218,17.9624500529084,0.0150037,3125
"Ukraine",0.4268632,6,6,150,4,1,635.712846663659,17.7109131666255,0.0154471,0
"Uruguay",0.04193,10,10,419,7,1,6871.90388470479,15.0158493673216,0.0005142,0
"Uzbekistan",0.5795057,-9,0,142,2,0,558.221143977787,17.0203036855018,0.0026694,3125
"Venezuela",-0.5080071,7,7,419,4,1,4785.1530594156,17.0134273487556,0.0045129,812
"South Africa",0.04397686,9,9,2,4,1,3099.13161369597,17.5997001918825,0.0068133,0
"Zambia",-0.480057,1,3,2,5,1,340.156549854271,16.1749692464636,0.0007019,0
"Zimbabwe",-0.7527286,-3,1,2,4,1,535.197421500081,16.3412376822714,0.0010393,437
